experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,in_domain_accuracy,ood_accuracy,gap,normalized_gap,in_domain_macro_f1,ood_macro_f1
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,0.717617259917892,0.5560531840447865,0.1615640758731055,0.22513961814629607,0.69642112141428,0.4573704624788483
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,0.7508159861996297,0.5637508747375787,0.18706511146205107,0.24914907900257935,0.7185744718451367,0.45228873786386453
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,0.5628307125553642,0.43498950314905527,0.12784120940630894,0.22713971813280096,0.56587487808271,0.32765720720389946
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,0.7087846838295153,0.6069979006298111,0.10178678319970424,0.14360748125898715,0.6781471529871061,0.4757075145957781
cross_location_resnet101_image_object_crop_seed42,cross_location_resnet101_image_object_crop_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,object_crop,0.8098362580627093,0.7451364590622813,0.064699799000428,0.0798924453632181,0.7865577642888236,0.6205398516673036
cross_location_resnet101_loss_focal_seed42,cross_location_resnet101_loss_focal_seed42_20260509_142424,42,cross_location,resnet101,101,none,focal,balanced,none,none,0.6598599408361028,0.4983904828551435,0.1614694579809593,0.2447026224631287,0.6513083749953461,0.40843615947173595
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142424,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,0.7064544967657952,0.5505948215535339,0.1558596752122613,0.220622383926777,0.6861263635435535,0.4400549997611431
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,0.7064544967657952,0.5505948215535339,0.1558596752122613,0.220622383926777,0.6861263635435535,0.4400549997611431
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142902,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,0.7371451743089377,0.5752274317704689,0.1619177425384688,0.2196551618075289,0.7161912153442441,0.4608422679359556
cross_location_resnet101_seed43,cross_location_resnet101_seed43_20260509_142424,43,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,0.7032716784733675,0.5178446466060181,0.18542703186734932,0.2636634426540061,0.6762661476072748,0.4173365325233492
cross_location_resnet101_seed44,cross_location_resnet101_seed44_20260509_142426,44,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,0.7164765428777672,0.6128761371588524,0.10360040571891482,0.14459706566637637,0.6947387522180677,0.48193392346064634
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,0.6666666666666666,0.5467820157764094,0.11988465089025724,0.17982697633538586,0.6239656896317669,0.4318972249735003
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,0.7524752475247525,0.5563887481559581,0.1960864993687944,0.26058863731905574,0.6712430835679032,0.46962541665587487
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,0.6468646864686468,0.5059923046609501,0.14087238180769668,0.21777720248842908,0.5939928565034648,0.3261424718803083
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,0.5363036303630363,0.5140595144637131,0.02224411589932318,0.04147672072304569,0.49019515924455953,0.34684696097183587
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,0.7970297029702971,0.7125603821389669,0.08446932083133019,0.1059801416641534,0.7430977722781187,0.5486828715466416
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,0.693069306930693,0.4737979614326686,0.2192713454980244,0.31637722707572097,0.6181641440018331,0.3795146478749847
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,0.7194719471947195,0.5223758441508825,0.19709610304383707,0.2739455010196451,0.6354648009815014,0.4444003850101695
