experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,accuracy,macro_f1
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,val,0.6860693263570962,0.6936604305833839
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,0.7491651934786879,0.6991818122451762
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,0.5560531840447865,0.4573704624788483
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,0.7396991497710922,0.7352324356603798
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,0.7619328226281673,0.7019165080298936
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,0.5637508747375787,0.45228873786386453
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,val,0.5748855461085677,0.5905429398687128
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,cis,0.5507758790021606,0.5412068162967072
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,trans,0.43498950314905527,0.32765720720389946
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_foreground_only_seed42_20260509_145446,13,macro_f1,0.6605577220241531,val,0.6742969260954872,0.6605577220241531
