scenario,image_ablation,ood_accuracy,normalized_gap,ood_macro_f1,delta_ood_accuracy,delta_normalized_gap,delta_ood_macro_f1,rows_averaged
cross_location,none,0.5588056916258456,0.2202999765536943,0.4469840891527473,0.0,0.0,0.0,3
cross_location,background_only,0.43498950314905527,0.22713971813280096,0.32765720720389946,-0.12381618847679032,0.006839741579106662,-0.11932688194884783,1
cross_location,foreground_only,0.6069979006298111,0.14360748125898715,0.4757075145957781,0.04819220900396548,-0.07669249529470715,0.028723425443030803,1
cross_location,object_crop,0.7451364590622813,0.0798924453632181,0.6205398516673036,0.18633076743643573,-0.1404075311904762,0.17355576251455634,1
day_to_night,none,0.5223758441508825,0.2739455010196451,0.4444003850101695,0.0,0.0,0.0,3
day_to_night,background_only,0.5059923046609501,0.21777720248842908,0.3261424718803083,-0.01638353948993232,-0.05616829853121602,-0.11825791312986117,1
day_to_night,foreground_only,0.5140595144637131,0.04147672072304569,0.34684696097183587,-0.008316329687169333,-0.2324687802965994,-0.09755342403833361,1
day_to_night,object_crop,0.7125603821389669,0.1059801416641534,0.5486828715466416,0.19018453798808443,-0.1679653593554917,0.10428248653647215,1
night_to_day,none,0.47865774754230767,0.32168981704978844,0.4471203355223059,0.0,0.0,0.0,3
night_to_day,background_only,0.3464800885788519,0.37017285416685936,0.298751150311342,-0.1321776589634558,0.048483037117070915,-0.14836918521096393,1
night_to_day,foreground_only,0.4446874569235521,0.3124574005499324,0.40424479776978184,-0.03397029061875556,-0.009232416499856066,-0.04287553775252406,1
night_to_day,object_crop,0.5877864869193861,0.18178558797600416,0.5374961958050694,0.1091287393770784,-0.13990422907378428,0.09037586028276345,1
